TxnId,New Url
CIS_Agents_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=CIS_Agents_AAG
CIS_Contractor_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=CIS_Contractor_AAG
CIS_Contractor_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=CIS_Contractor_AAG
CT_Agents_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=CT_Agents_AAG
CT_Orgs_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=CT_Orgs_AAG
ECSL_Agent,https://online.hmrc.gov.uk/linkto?hmrctxnid=ECSL_Agent
ECSL_Org,https://online.hmrc.gov.uk/linkto?hmrctxnid=ECSL_Org
EMCSOrg,https://online.hmrc.gov.uk/linkto?hmrctxnid=EMCSOrg
EU_V_R_Agent_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=EU_V_R_Agent_AAG
EU_V_R_AgtNoVRN_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=EU_V_R_AgentNoVRN_AAG
EU_V_R_Trader_AAG,https://ibt.hmrc.gov.uk/linkto?hmrctxnid=EU_V_R_Trader_AAG
KANACWF1PT,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANACWF1PT
KANACWF1ST,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANACWF1ST
KANADMBSAP,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANADMBSAP
KANAEHLEOYEnqFinish,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLEOYEnqFinish
KANAEHLP45Leaver,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLP45Leaver
KANAEHLP45Starter,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLP45Starter
KANAEHLP46,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLP46
KANAEHLSAP,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLSAP
KANAEHLSSP,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLSSP
KANAEHLSSPA,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLSSPA
KANAEHLSSPM,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEHLSSPM
KANAEMPREG1,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREG1
KANAEMPREGBelow25,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGBelow25
KANAEMPREGBelowover5,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGBelowover5
KANAEMPREGLtd12,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGLtd12
KANAEMPREGLtd35,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGLtd35
KANAEMPREGLtdover5,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGLtdover5
KANAEMPREGPartner12,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGPartner12
KANAEMPREGPartner35,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGPartner35
KANAEMPREGPartner610,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGPartner610
KANAEMPREGSole,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANAEMPREGSole
KANANICSHol,https://businesslink-online.hmrc.gov.uk/shortforms/form/NICHoliday
KANASmail,https://online.hmrc.gov.uk/linkto?hmrctxnid=KANASmail
PAYE_Agent_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=PAYE_Agent_AAG
PAYE_Employer_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=PAYE_Employer_AAG
RCSL_Agent,https://online.hmrc.gov.uk/linkto?hmrctxnid=RCSL_Agent
RCSL_Org,https://online.hmrc.gov.uk/linkto?hmrctxnid=RCSL_Org
SA_Agent_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=SA_Agent_AAG
SA_Indiv_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=SA_Indiv_AAG
SA_Partner_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=SA_Partner_AAG
SA_Trust_AAG,https://ibt.hmrc.gov.uk/linkto?hmrctxnid=SA_Trust_AAG
SDLT_Agent_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=SDLT_Agent_AAG
SDLT_Org_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=SDLT_Org_AAG
VAT_Agent_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=VAT_Agent_AAG
VAT_Trader_AAG,https://online.hmrc.gov.uk/linkto?hmrctxnid=VAT_Trader_AAG
agricsurveydec,https://secure.services.defra.gov.uk/wfacomp/routing?target=DEC
agricsurveyjun,https://secure.services.defra.gov.uk/wfacomp/routing?target=JUN
animalfeed,https://secure.services.defra.gov.uk/wfacomp/routing?target=AFR
appcalib,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_The_Calibration_of_Mass_Length_or_Volume.aspx
apppreassess,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_Pre-Assessment.aspx
appprodcert,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_for_Product_Certification.aspx
