Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
"'Incapacitated': what this means for Working Tax Credit : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/TaxCredits/Gettingstarted/whoqualifies/DG_201943,https://www.gov.uk/working-tax-credit/overview,301,"28/06/12 AK - page added to Directgov 22/05/12. Hopefully it will have been fed through to GOV.UK so the guide can be reviewed.
290612 LS - yes, WTC is being reworked and this info will be referenced",site source status reviewed destination,directgov crawler closed no content,site:directgov source:crawler status:closed reviewed:no destination:content,""
(Old page) disabled rights,http://www.direct.gov.uk/DisabledPeople/RightsAndObligations/YourRights/YourRightsArticles/fs/en?CONTENT_ID=4001068&chk=eazXEG,https://www.gov.uk/browse/disabilities/disabled-people,301,"",content-type status reviewed destination,article closed no content,content-type:article status:closed reviewed:no destination:content,""
/pensions alias,http://www.direct.gov.uk/pensions,https://www.gov.uk/browse/working,301,"",content-type language source status reviewed destination,alias en aliases closed no content,content-type:alias language:en source:aliases status:closed reviewed:no destination:content,""
10 Downing Street : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011810,"",410," Info elsewhere on web

Is number10 going to be on GOV.UK?",content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.number10.gov.uk
12 towns offered chance to become a 'Portas Pilot' : Directgov - Newsroom,http://www.direct.gov.uk/en/Nl1/Newsroom/DG_200994,,410,"",content-type section site source status destination,article newsroom directgov mapping-exercise closed gone,content-type:article section:newsroom site:directgov source:mapping-exercise status:closed destination:gone,
"14 to 19: your life, your options : Directgov - Education and learning",http://www.direct.gov.uk/en/EducationAndLearning/14To19/index.htm,https://www.gov.uk/browse/education,301,"13/07/12 AK - some content on GOV.UK, updated mapping to point to main browse page.

 Advice only

Most of this is advice",content-type section site source status destination reviewed,nav education-and-learning directgov mapping-exercise closed content no,content-type:nav section:education-and-learning site:directgov source:mapping-exercise status:closed destination:content reviewed:no,
14-19prospectus,http://www.direct.gov.uk/14-19prospectus,https://www.gov.uk/courses-qualifications,301,Currently redirects to http://yp.direct.gov.uk/14-19prospectus/,content-type site source status destination,alias directgov aliases closed content,content-type:alias site:directgov source:aliases status:closed destination:content,
16 to 19 bursary : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/14To19/MoneyToLearn/16to19bursary/index.htm,https://www.gov.uk/1619-bursary-fund,301,"There is info on EMA on that nav page as well, but EMA is ending, so I think the link to 16-19 bursary is enough",content-type section site source status destination,nav education-and-learning directgov mapping-exercise closed content,content-type:nav section:education-and-learning site:directgov source:mapping-exercise status:closed destination:content,
16-19bursary,http://www.direct.gov.uk/16-19bursary,https://www.gov.uk/1619-bursary-fund,301,Currently redirects to en/EducationAndLearning/14To19/MoneyToLearn/16to19bursary/index.htm?CID=EAL&PLA=url_mon&CRE=16to19_bursary,content-type site source status destination,alias directgov aliases closed content,content-type:alias site:directgov source:aliases status:closed destination:content,
16-25 Railcard : Directgov - Young people,http://www.direct.gov.uk/en/YoungPeople/DG_10034785,,410, Info elsewhere on web,content-type section site source status destination,article young-people directgov mapping-exercise closed gone,content-type:article section:young-people site:directgov source:mapping-exercise status:closed destination:gone,
