Site,Name,Source
ago,extras,https://raw.github.com/alphagov/redirector-data/master/ago/extras.csv
ago,current,https://raw.github.com/alphagov/redirector/master/data/mappings/ago.csv
ago,trump,https://raw.github.com/alphagov/redirector-data/master/ago/trump.csv
bis,extras,https://raw.github.com/alphagov/redirector-data/master/bis/extras.csv
bis,current,https://raw.github.com/alphagov/redirector/master/data/mappings/bis.csv
bis,trump,https://raw.github.com/alphagov/redirector-data/master/bis/trump.csv
cabinetoffice,extras,https://raw.github.com/alphagov/redirector-data/master/cabinetoffice/extras.csv
cabinetoffice,current,https://raw.github.com/alphagov/redirector/master/data/mappings/cabinetoffice.csv
cabinetoffice,trump,https://raw.github.com/alphagov/redirector-data/master/cabinetoffice/trump.csv
dclg,extras,https://raw.github.com/alphagov/redirector-data/master/dclg/extras.csv
dclg,current,https://raw.github.com/alphagov/redirector/master/data/mappings/dclg.csv
dclg,trump,https://raw.github.com/alphagov/redirector-data/master/dclg/trump.csv
dcms,extras,https://raw.github.com/alphagov/redirector-data/master/dcms/extras.csv
dcms,current,https://raw.github.com/alphagov/redirector/master/data/mappings/dcms.csv
dcms,trump,https://raw.github.com/alphagov/redirector-data/master/dcms/trump.csv
decc,extras,https://raw.github.com/alphagov/redirector-data/master/decc/extras.csv
decc,current,https://raw.github.com/alphagov/redirector/master/data/mappings/decc.csv
decc,trump,https://raw.github.com/alphagov/redirector-data/master/decc/trump.csv
decc_ceo,extras,https://raw.github.com/alphagov/redirector-data/master/decc_ceo/extras.csv
decc_ceo,current,https://raw.github.com/alphagov/redirector/master/data/mappings/decc_ceo.csv
decc_ceo,trump,https://raw.github.com/alphagov/redirector-data/master/decc_ceo/trump.csv
decc_mrws,extras,https://raw.github.com/alphagov/redirector-data/master/decc_mrws/extras.csv
decc_mrws,current,https://raw.github.com/alphagov/redirector/master/data/mappings/decc_mrws.csv
decc_mrws,trump,https://raw.github.com/alphagov/redirector-data/master/decc_mrws/trump.csv
decc_offshoresea,extras,https://raw.github.com/alphagov/redirector-data/master/decc_offshoresea/extras.csv
decc_offshoresea,current,https://raw.github.com/alphagov/redirector/master/data/mappings/decc_offshoresea.csv
decc_offshoresea,trump,https://raw.github.com/alphagov/redirector-data/master/decc_offshoresea/trump.csv
decc_og,extras,https://raw.github.com/alphagov/redirector-data/master/decc_og/extras.csv
decc_og,current,https://raw.github.com/alphagov/redirector/master/data/mappings/decc_og.csv
decc_og,trump,https://raw.github.com/alphagov/redirector-data/master/decc_og/trump.csv
defra,extras,https://raw.github.com/alphagov/redirector-data/master/defra/extras.csv
defra,current,https://raw.github.com/alphagov/redirector/master/data/mappings/defra.csv
