Old Url,New Url,Status
http://www.defra.gov.uk/abstraction-reform,https://www.gov.uk/government/policies/maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services/supporting-pages/water-resource-management,301
http://www.defra.gov.uk/abstraction-reform/about,https://www.gov.uk/government/policies/maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services/supporting-pages/water-resource-management,301
http://www.defra.gov.uk/abstraction-reform/about/background,https://www.gov.uk/government/policies/maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services/supporting-pages/water-resource-management,301
http://www.defra.gov.uk/abstraction-reform/contact,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/abstraction-reform/research,https://www.gov.uk/government/policies/maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services/supporting-pages/water-resource-management,301
http://www.defra.gov.uk/abstraction-reform/timeline,https://www.gov.uk/government/policies/maintaining-secure-water-supplies-high-standards-of-drinking-water-and-effective-sewerage-services/supporting-pages/water-resource-management,301
http://www.defra.gov.uk/abstraction-reform/working-with,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/abstraction-reform/working-with/advisory-group,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/abstraction-reform/working-with/advisory-group/meetings,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/abstraction-reform/working-with/advisory-group/members,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/abstraction-reform/working-with/advisory-group/terms-of-reference,https://www.gov.uk/government/policy-advisory-groups/abstraction-reform,301
http://www.defra.gov.uk/acre,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,301
http://www.defra.gov.uk/acre/about,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment/about,301
http://www.defra.gov.uk/acre/about/members-interests,https://www.gov.uk/government/publications/acre-register-of-members-interests,301
http://www.defra.gov.uk/acre/about/membership,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment/about#who-we-are,301
http://www.defra.gov.uk/acre/about/review-process,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,301
http://www.defra.gov.uk/acre/about/terms-of-reference,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment/about/terms-of-reference,301
http://www.defra.gov.uk/acre/acre-meeting-101014,,410
http://www.defra.gov.uk/acre/acre-meeting-110210,,410
http://www.defra.gov.uk/acre/acre-meeting-110317,,410
http://www.defra.gov.uk/acre/advice-09-r31-01,,410
http://www.defra.gov.uk/acre/advice-10-r29-01-2,,410
http://www.defra.gov.uk/acre/advice-10-r40-01,,410
http://www.defra.gov.uk/acre/advice-florigene-ifd-25958-3,,410
http://www.defra.gov.uk/acre/advice-florigene-ifd-26407-2,,410
http://www.defra.gov.uk/acre/advice-florigene-ifd-moonshadow,,410
http://www.defra.gov.uk/acre/advice-gm-crops,,410
http://www.defra.gov.uk/acre/advice-gm-crops-2,,410
http://www.defra.gov.uk/acre/annual-report-2009,,410
http://www.defra.gov.uk/acre/annual-report-2010,,410
http://www.defra.gov.uk/acre/contact-us,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,301
http://www.defra.gov.uk/acre/files/20120710-final-version-acre-advice-on-new-techniques.pdf,https://www.gov.uk/government/publications/genetically-modified-organisms-new-plant-growing-methods,301
http://www.defra.gov.uk/acre/files/acre-advice-09-r31-01.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-10-r29-01.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-10-r40-01.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-celladon.pdf,https://www.gov.uk/government/publications/acre-advice-heart-failure-gene-therapy-trial,301
http://www.defra.gov.uk/acre/files/acre-advice-florigene-ifd-25958-3.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-florigene-ifd-26407-2.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-florigene-ifd-moonshadow.pdf,,410
http://www.defra.gov.uk/acre/files/acre-advice-hiv.pdf,https://www.gov.uk/government/publications/acre-advice-aids-vaccine-trial,301
http://www.defra.gov.uk/acre/files/acre-advice-prostvac-ni.pdf,https://www.gov.uk/government/publications/acre-advice-prostate-cancer-vaccine-trial,301
http://www.defra.gov.uk/acre/files/acre-advice-type1-20130218.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-contamination-risks-in-the-uk,301
http://www.defra.gov.uk/acre/files/acre-advice-wheattrial2013.pdf,https://www.gov.uk/government/publications/acre-advice-wheat-crop-trial,301
http://www.defra.gov.uk/acre/files/acre-annual-report-2011.pdf,,410
http://www.defra.gov.uk/acre/files/acre-annual-report2009.pdf,,410
http://www.defra.gov.uk/acre/files/acre-annual-report2010.pdf,,410
http://www.defra.gov.uk/acre/files/acre-annualreport-2012.pdf,https://www.gov.uk/government/publications/acre-annual-report-2012,301
http://www.defra.gov.uk/acre/files/acre-framework-agreement.pdf,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment/about/our-governance,301
http://www.defra.gov.uk/acre/files/acre-gm-insects-100301.pdf,,410
http://www.defra.gov.uk/acre/files/general-acre-advice-type1.pdf,,410
http://www.defra.gov.uk/acre/files/pmem-annex10.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-post-market-monitoring,301
http://www.defra.gov.uk/acre/files/pmem-annex8.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-post-market-monitoring,301
http://www.defra.gov.uk/acre/files/pmem-annex9.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-post-market-monitoring,301
http://www.defra.gov.uk/acre/files/pmem-annexes1-7.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-post-market-monitoring,301
http://www.defra.gov.uk/acre/files/pmem-final-report.pdf,https://www.gov.uk/government/publications/genetically-modified-crops-post-market-monitoring,301
http://www.defra.gov.uk/acre/files/pmem-minutes-110317.pdf,,410
http://www.defra.gov.uk/acre/files/register-of-interests-sept-2013.pdf,https://www.gov.uk/government/publications/acre-register-of-members-interests,301
http://www.defra.gov.uk/acre/files/report-1.pdf,https://www.gov.uk/government/publications/genetically-modified-organisms-review-of-current-eu-regulations,301
http://www.defra.gov.uk/acre/files/report-2.pdf,https://www.gov.uk/government/publications/genetically-modified-organisms-the-case-for-new-regulations,301
http://www.defra.gov.uk/acre/files/report-3.pdf,https://www.gov.uk/government/publications/genetically-modified-organisms-improving-risk-assessments,301
http://www.defra.gov.uk/acre/gm-insects-workshop,,410
